visitation_id,resident_id,visit_date,social_worker,visit_type,location_visited,family_members_present,purpose,observations,family_cooperation_level,safety_concerns_noted,follow_up_needed,follow_up_notes,visit_outcome
295,12,2025-09-29,SW-19,Post-Placement Monitoring,Proposed Foster Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,,Favorable
296,12,2025-10-11,SW-19,Reintegration Assessment,Barangay Office,Torres (Parent); Cruz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
297,12,2025-10-16,SW-03,Initial Assessment,Barangay Office,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,,Needs Improvement
298,12,2025-10-27,SW-16,Post-Placement Monitoring,Family Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,True,False,Follow-up scheduled,Inconclusive
299,12,2025-11-22,SW-16,Reintegration Assessment,Proposed Foster Home,Torres (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
300,12,2025-12-17,SW-18,Routine Follow-Up,Barangay Office,Cruz (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement
301,12,2025-12-26,SW-09,Routine Follow-Up,School,Garcia (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,,Inconclusive
302,12,2026-02-18,SW-06,Reintegration Assessment,Community Center,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
303,13,2023-03-02,SW-17,Initial Assessment,Community Center,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable
304,13,2023-03-09,SW-04,Routine Follow-Up,Family Home,Torres (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
305,13,2023-03-18,SW-06,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,True,True,Follow-up scheduled,Needs Improvement
306,13,2023-03-30,SW-17,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,,Favorable
307,13,2023-04-05,SW-03,Routine Follow-Up,Family Home,Santos (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Favorable
308,13,2023-05-08,SW-05,Reintegration Assessment,Proposed Foster Home,Lopez (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,False,,Favorable
309,13,2023-05-15,SW-18,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Inconclusive
310,13,2023-07-17,SW-04,Routine Follow-Up,Church,Diaz (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
311,13,2023-07-19,SW-16,Post-Placement Monitoring,Family Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
312,13,2023-08-03,SW-12,Emergency,Church,Garcia (Parent); Reyes (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,False,True,,Unfavorable
313,13,2023-08-25,SW-11,Initial Assessment,Barangay Office,Mendoza (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Inconclusive
314,13,2023-09-26,SW-14,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,True,False,Follow-up scheduled,Favorable
315,13,2023-10-16,SW-10,Reintegration Assessment,School,Torres (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,False,Follow-up scheduled,Inconclusive
316,13,2023-10-17,SW-07,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Favorable
317,13,2023-10-18,SW-19,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Favorable
318,13,2023-12-08,SW-07,Routine Follow-Up,Barangay Office,Flores (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,Follow-up scheduled,Needs Improvement
319,13,2023-12-29,SW-08,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Inconclusive
320,13,2024-03-06,SW-05,Initial Assessment,Proposed Foster Home,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
321,13,2024-04-06,SW-07,Routine Follow-Up,School,Diaz (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,,Needs Improvement
322,13,2024-05-05,SW-04,Routine Follow-Up,Church,Cruz (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Inconclusive
323,13,2024-05-29,SW-12,Routine Follow-Up,Barangay Office,Reyes (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
324,13,2024-06-04,SW-09,Initial Assessment,School,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Inconclusive
325,13,2024-06-06,SW-17,Post-Placement Monitoring,Church,Diaz (Parent); Lopez (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,,Favorable
326,13,2024-06-08,SW-18,Routine Follow-Up,Barangay Office,Garcia (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
327,13,2024-06-09,SW-18,Initial Assessment,Proposed Foster Home,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,True,False,,Favorable
328,13,2024-06-10,SW-06,Routine Follow-Up,Community Center,Santos (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
329,13,2024-06-10,SW-08,Routine Follow-Up,Proposed Foster Home,Santos (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,,Needs Improvement
330,13,2024-06-17,SW-12,Reintegration Assessment,Church,Santos (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Favorable
331,13,2024-06-20,SW-17,Initial Assessment,Barangay Office,Torres (Parent); Torres (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,True,False,,Inconclusive
332,13,2024-07-02,SW-17,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,Follow-up scheduled,Favorable
333,13,2024-07-23,SW-01,Routine Follow-Up,Community Center,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Unfavorable
334,13,2024-07-26,SW-04,Post-Placement Monitoring,Community Center,Reyes (Parent); Torres (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,Follow-up scheduled,Inconclusive
335,14,2025-02-04,SW-02,Emergency,Proposed Foster Home,Santos (Parent); Diaz (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,True,False,Follow-up scheduled,Inconclusive
336,14,2025-02-05,SW-11,Reintegration Assessment,Proposed Foster Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,True,,Needs Improvement
337,14,2025-02-09,SW-07,Routine Follow-Up,Proposed Foster Home,Lopez (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,,Favorable
338,14,2025-03-02,SW-13,Post-Placement Monitoring,Community Center,Santos (Parent); Santos (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,True,,Needs Improvement
339,14,2025-03-04,SW-04,Post-Placement Monitoring,Community Center,Cruz (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,,Favorable
340,14,2025-03-10,SW-03,Reintegration Assessment,Proposed Foster Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,True,False,Follow-up scheduled,Favorable
341,14,2025-03-11,SW-10,Routine Follow-Up,Family Home,Flores (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Favorable
342,14,2025-04-15,SW-08,Reintegration Assessment,Church,Torres (Parent); Santos (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,,Unfavorable
343,14,2025-04-25,SW-11,Reintegration Assessment,Church,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,False,Follow-up scheduled,Inconclusive
344,14,2025-06-01,SW-13,Routine Follow-Up,Proposed Foster Home,Cruz (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,True,Follow-up scheduled,Unfavorable
345,14,2025-06-10,SW-05,Initial Assessment,Church,Mendoza (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
346,14,2025-07-10,SW-20,Reintegration Assessment,Barangay Office,Diaz (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Inconclusive
347,14,2025-07-25,SW-09,Routine Follow-Up,Family Home,Flores (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Favorable
348,14,2025-09-15,SW-15,Routine Follow-Up,Proposed Foster Home,Diaz (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Unfavorable
349,14,2025-09-18,SW-05,Reintegration Assessment,Family Home,Lopez (Parent); Santos (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable
350,14,2025-10-19,SW-09,Initial Assessment,Barangay Office,Reyes (Parent); Diaz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
351,14,2025-10-26,SW-06,Initial Assessment,Proposed Foster Home,Cruz (Parent); Cruz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
352,14,2025-11-15,SW-12,Post-Placement Monitoring,Barangay Office,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,True,Follow-up scheduled,Needs Improvement
353,14,2025-12-04,SW-15,Reintegration Assessment,Church,Reyes (Parent); Garcia (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,True,False,Follow-up scheduled,Favorable
354,14,2025-12-20,SW-19,Reintegration Assessment,Proposed Foster Home,Reyes (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
355,14,2026-01-19,SW-11,Reintegration Assessment,Proposed Foster Home,Cruz (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,,Unfavorable
356,15,2024-10-20,SW-04,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,,Favorable
357,15,2024-12-12,SW-16,Routine Follow-Up,Proposed Foster Home,Santos (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Favorable
358,15,2025-02-02,SW-14,Routine Follow-Up,Proposed Foster Home,Diaz (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Favorable
359,15,2025-02-17,SW-06,Routine Follow-Up,Barangay Office,Diaz (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Needs Improvement
360,15,2025-02-25,SW-20,Routine Follow-Up,Barangay Office,Santos (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Inconclusive
361,15,2025-06-15,SW-10,Post-Placement Monitoring,Church,Diaz (Parent); Santos (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,,Favorable
362,15,2025-06-20,SW-19,Initial Assessment,Barangay Office,Torres (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Inconclusive
363,15,2025-06-29,SW-04,Initial Assessment,Community Center,Garcia (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
364,15,2025-07-21,SW-10,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Unfavorable
365,15,2025-08-07,SW-14,Routine Follow-Up,Community Center,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Unfavorable
366,15,2025-08-09,SW-16,Post-Placement Monitoring,Community Center,Reyes (Parent); Rivera (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,True,Follow-up scheduled,Unfavorable
367,15,2025-08-12,SW-06,Initial Assessment,Proposed Foster Home,Lopez (Parent); Diaz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable
368,15,2025-09-05,SW-03,Initial Assessment,School,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,True,True,,Unfavorable
369,15,2025-10-01,SW-18,Routine Follow-Up,Family Home,Santos (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Inconclusive
370,15,2025-12-23,SW-17,Initial Assessment,Church,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,Follow-up scheduled,Unfavorable
371,15,2026-03-06,SW-14,Routine Follow-Up,Church,Torres (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
372,15,2026-04-24,SW-18,Routine Follow-Up,Community Center,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
373,15,2026-05-01,SW-09,Post-Placement Monitoring,Family Home,Torres (Parent); Cruz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,Follow-up scheduled,Favorable
374,15,2026-05-25,SW-08,Routine Follow-Up,School,Rivera (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
375,16,2023-06-14,SW-03,Reintegration Assessment,School,Diaz (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,,Needs Improvement
376,16,2023-06-15,SW-06,Post-Placement Monitoring,Church,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,False,Follow-up scheduled,Favorable
377,16,2023-06-21,SW-03,Reintegration Assessment,Barangay Office,Rivera (Parent); Torres (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,True,Follow-up scheduled,Unfavorable
378,16,2023-07-09,SW-11,Reintegration Assessment,Family Home,Cruz (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,False,,Favorable
379,16,2023-07-09,SW-07,Reintegration Assessment,School,Rivera (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,Follow-up scheduled,Needs Improvement
380,16,2023-08-03,SW-12,Reintegration Assessment,School,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
381,16,2023-09-03,SW-20,Routine Follow-Up,Community Center,Lopez (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,True,Follow-up scheduled,Needs Improvement
382,16,2023-09-24,SW-03,Reintegration Assessment,Family Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,False,,Inconclusive
383,16,2023-09-25,SW-12,Reintegration Assessment,Church,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Inconclusive
384,16,2023-10-19,SW-17,Routine Follow-Up,Church,Lopez (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement
385,16,2023-11-06,SW-20,Initial Assessment,Proposed Foster Home,Torres (Parent); Lopez (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable
386,16,2023-11-16,SW-03,Reintegration Assessment,Barangay Office,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Unfavorable
387,16,2023-12-02,SW-17,Reintegration Assessment,Church,Rivera (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,True,,Needs Improvement
388,16,2023-12-06,SW-05,Post-Placement Monitoring,School,Cruz (Parent); Rivera (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,True,Follow-up scheduled,Needs Improvement
389,16,2023-12-29,SW-07,Reintegration Assessment,Family Home,Diaz (Parent); Santos (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,True,True,,Unfavorable
390,16,2024-01-08,SW-19,Reintegration Assessment,School,Garcia (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
391,16,2024-01-19,SW-10,Reintegration Assessment,Church,Mendoza (Parent); Torres (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,True,True,,Needs Improvement
392,16,2024-01-26,SW-14,Routine Follow-Up,Community Center,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
393,16,2024-02-12,SW-03,Reintegration Assessment,Community Center,Santos (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,True,,Unfavorable
394,16,2024-03-17,SW-14,Reintegration Assessment,Family Home,Mendoza (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,False,,Favorable
395,16,2024-04-22,SW-08,Reintegration Assessment,School,Santos (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,False,,Favorable
396,16,2024-05-12,SW-10,Routine Follow-Up,Community Center,Diaz (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
397,16,2024-06-13,SW-07,Initial Assessment,Family Home,Flores (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,,Favorable
398,16,2024-06-14,SW-09,Routine Follow-Up,Family Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
399,16,2024-06-25,SW-04,Routine Follow-Up,Barangay Office,Lopez (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Unfavorable
400,16,2024-07-15,SW-09,Reintegration Assessment,Community Center,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,,Needs Improvement
401,16,2024-07-30,SW-12,Reintegration Assessment,Barangay Office,Reyes (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,True,True,Follow-up scheduled,Needs Improvement
402,16,2024-10-13,SW-03,Reintegration Assessment,Family Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,,Favorable
403,16,2024-11-13,SW-06,Reintegration Assessment,Family Home,Reyes (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,False,,Favorable
404,16,2024-11-17,SW-11,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
405,16,2024-12-02,SW-09,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Unfavorable
406,16,2025-01-07,SW-20,Initial Assessment,Barangay Office,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
407,16,2025-01-29,SW-02,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Unfavorable
408,16,2025-02-14,SW-04,Reintegration Assessment,School,Mendoza (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
409,16,2025-04-05,SW-03,Post-Placement Monitoring,Family Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
410,16,2025-04-15,SW-14,Post-Placement Monitoring,Proposed Foster Home,Reyes (Parent); Rivera (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,False,Follow-up scheduled,Inconclusive
411,16,2025-06-09,SW-11,Reintegration Assessment,School,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
412,16,2025-06-10,SW-10,Reintegration Assessment,Community Center,Flores (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,,Favorable
413,16,2025-07-31,SW-01,Initial Assessment,Barangay Office,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
414,16,2025-09-15,SW-16,Reintegration Assessment,School,Reyes (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,,Needs Improvement
415,16,2025-09-18,SW-13,Reintegration Assessment,Community Center,Santos (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,,Needs Improvement
416,16,2025-10-10,SW-07,Reintegration Assessment,Church,Rivera (Parent); Mendoza (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,False,,Favorable
417,16,2025-10-15,SW-20,Routine Follow-Up,Community Center,Flores (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
418,16,2025-10-27,SW-01,Initial Assessment,Community Center,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
419,16,2025-11-01,SW-06,Reintegration Assessment,Barangay Office,Cruz (Parent); Cruz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Inconclusive
420,16,2025-11-05,SW-15,Reintegration Assessment,School,Garcia (Parent); Santos (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement
421,16,2025-12-15,SW-06,Post-Placement Monitoring,Barangay Office,Rivera (Parent); Cruz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,Follow-up scheduled,Inconclusive
422,16,2025-12-23,SW-04,Reintegration Assessment,School,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,,Needs Improvement
423,16,2025-12-24,SW-05,Reintegration Assessment,School,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,,Favorable
424,16,2026-01-16,SW-07,Initial Assessment,Church,Lopez (Parent); Mendoza (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,,Needs Improvement
425,16,2026-02-09,SW-02,Routine Follow-Up,Barangay Office,Torres (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Needs Improvement
426,17,2025-01-22,SW-20,Post-Placement Monitoring,Family Home,Mendoza (Parent); Rivera (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,False,False,,Favorable
427,17,2025-03-23,SW-02,Post-Placement Monitoring,Family Home,Garcia (Parent); Torres (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,False,False,Follow-up scheduled,Inconclusive
428,17,2025-04-01,SW-15,Post-Placement Monitoring,Community Center,Flores (Parent); Flores (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,True,True,Follow-up scheduled,Needs Improvement
429,17,2025-05-04,SW-06,Post-Placement Monitoring,Church,Flores (Parent); Torres (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,,Favorable
430,17,2025-06-02,SW-05,Routine Follow-Up,Community Center,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,,Inconclusive
431,17,2025-08-13,SW-02,Initial Assessment,Community Center,Garcia (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,Follow-up scheduled,Unfavorable
432,17,2025-10-11,SW-19,Emergency,Barangay Office,None,Visitation for emergency,Visit observations recorded during emergency.,Cooperative,False,False,Follow-up scheduled,Favorable
433,17,2025-10-11,SW-07,Initial Assessment,School,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,True,True,Follow-up scheduled,Unfavorable
434,17,2025-11-03,SW-11,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive
435,17,2025-11-04,SW-12,Routine Follow-Up,Family Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Needs Improvement
436,17,2026-01-15,SW-18,Routine Follow-Up,Proposed Foster Home,Diaz (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,,Favorable
437,17,2026-01-22,SW-18,Reintegration Assessment,Church,Lopez (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,False,Follow-up scheduled,Favorable
